Champion,wr,wrdelta,rankwr,Pick Rate,Ban Rate,PBI Index,lane,games,rank,wrdiff,PBIno
Talon,62.88,11.35,58.25,10.91,24.46,67.0,jungle lane,1347.0,CHALLENGER,4.630000000000003,14.470842332613383
Riven,63.87,11.36,58.25,5.11,6.64,31.0,top lane,631.0,CHALLENGER,5.619999999999997,5.516014234875447
Jinx,61.7,8.77,58.25,5.92,1.36,21.0,bottom lane,731.0,CHALLENGER,3.450000000000003,6.0869565217391255
Zed,62.56,8.36,58.25,9.35,30.44,58.0,middle lane,1154.0,CHALLENGER,4.310000000000002,13.457076566125282
Thresh,60.21,8.02,58.25,4.64,5.5,10.0,support lane,573.0,CHALLENGER,1.9600000000000009,5.102040816326529
Karthus,61.1,5.19,58.25,3.54,5.88,11.0,bottom lane,437.0,CHALLENGER,2.8500000000000014,3.8596491228070158
Katarina,63.25,15.61,58.25,6.24,14.5,36.0,middle lane,770.0,CHALLENGER,5.0,7.2
Lee Sin,60.24,7.79,58.25,14.88,11.19,33.0,jungle lane,1836.0,CHALLENGER,1.990000000000002,16.582914572864304
Senna,62.82,13.47,58.25,7.24,2.25,34.0,support lane,893.0,CHALLENGER,4.57,7.439824945295404
Irelia,59.64,6.8,58.25,5.38,13.21,9.0,top lane,664.0,CHALLENGER,1.3900000000000006,6.474820143884889
Bard,58.7,7.22,58.25,13.04,9.89,7.0,support lane,1610.0,CHALLENGER,0.45000000000000284,15.555555555555458
Ashe,60.27,7.77,58.25,11.32,4.32,24.0,bottom lane,1397.0,CHALLENGER,2.020000000000003,11.881188118811863
Karma,57.83,8.24,58.25,10.66,9.52,-5.0,support lane,1316.0,CHALLENGER,-0.4200000000000017,-11.904761904761857
Ahri,61.47,10.97,58.25,13.56,4.1,46.0,middle lane,1674.0,CHALLENGER,3.219999999999999,14.28571428571429
Jayce,57.96,8.21,58.25,9.52,10.78,-3.0,top lane,1175.0,CHALLENGER,-0.28999999999999915,-10.344827586206927
Naafiri,59.3,8.0,58.25,10.15,35.01,16.0,jungle lane,1253.0,CHALLENGER,1.0499999999999972,15.23809523809528
Olaf,61.5,7.65,58.25,3.45,2.62,12.0,top lane,426.0,CHALLENGER,3.25,3.6923076923076925
Draven,59.32,11.65,58.25,4.78,24.8,7.0,bottom lane,590.0,CHALLENGER,1.0700000000000003,6.542056074766354
Seraphine,58.25,5.66,58.25,6.38,3.27,0.0,support lane,788.0,CHALLENGER,0.0,
Qiyana,59.64,12.09,58.25,9.42,10.14,15.0,middle lane,1162.0,CHALLENGER,1.3900000000000006,10.791366906474815
Vladimir,61.17,13.65,58.25,6.78,8.42,22.0,middle lane,837.0,CHALLENGER,2.9200000000000017,7.534246575342461
Graves,58.55,5.56,58.25,13.98,21.16,5.0,jungle lane,1725.0,CHALLENGER,0.29999999999999716,16.666666666666824
Nami,56.04,6.83,58.25,8.65,3.65,-20.0,support lane,1067.0,CHALLENGER,-2.210000000000001,-9.049773755656105
Yunara,59.6,7.65,58.25,9.41,2.27,13.0,bottom lane,1161.0,CHALLENGER,1.3500000000000014,9.629629629629619
Gangplank,63.47,14.05,58.25,3.04,4.07,17.0,top lane,375.0,CHALLENGER,5.219999999999999,3.2567049808429127
Ekko,62.07,9.75,58.25,4.46,2.9,18.0,middle lane,551.0,CHALLENGER,3.8200000000000003,4.712041884816753
Rell,61.27,7.78,58.25,4.35,1.12,13.0,support lane,537.0,CHALLENGER,3.020000000000003,4.3046357615894
Ambessa,57.97,8.99,58.25,7.83,22.38,-3.0,jungle lane,966.0,CHALLENGER,-0.28000000000000114,-10.714285714285671
Smolder,59.02,7.05,58.25,14.59,17.64,14.0,bottom lane,1801.0,CHALLENGER,0.7700000000000031,18.18181818181811
Nautilus,56.19,9.47,58.25,9.56,11.62,-22.0,support lane,1180.0,CHALLENGER,-2.0600000000000023,-10.679611650485425
Yasuo,58.94,11.6,58.25,6.12,18.24,5.0,middle lane,755.0,CHALLENGER,0.6899999999999977,7.246376811594227
Jhin,56.73,7.46,58.25,12.15,0.49,-19.0,bottom lane,1500.0,CHALLENGER,-1.5200000000000031,-12.499999999999975
Rek'Sai,61.61,9.13,58.25,4.33,2.3,15.0,jungle lane,534.0,CHALLENGER,3.3599999999999994,4.464285714285715
Singed,59.53,3.86,58.25,6.17,1.96,8.0,top lane,761.0,CHALLENGER,1.2800000000000011,6.249999999999995
Sona,60.35,8.08,58.25,5.13,1.69,11.0,support lane,633.0,CHALLENGER,2.1000000000000014,5.238095238095235
Rengar,59.07,10.23,58.25,7.68,27.11,9.0,jungle lane,948.0,CHALLENGER,0.8200000000000003,10.975609756097557
Lucian,58.65,7.76,58.25,9.97,2.89,4.0,bottom lane,1231.0,CHALLENGER,0.3999999999999986,10.000000000000036
Soraka,59.77,7.55,58.25,4.31,2.27,7.0,support lane,532.0,CHALLENGER,1.5200000000000031,4.605263157894727
Vayne,58.71,10.37,58.25,9.16,12.95,5.0,top lane,1131.0,CHALLENGER,0.46000000000000085,10.869565217391283
Ezreal,55.59,7.8,58.25,24.21,16.59,-77.0,bottom lane,2988.0,CHALLENGER,-2.6599999999999966,-28.94736842105267
Akali,57.27,5.69,58.25,8.02,19.71,-10.0,middle lane,990.0,CHALLENGER,-0.9799999999999969,-10.204081632653093
Master Yi,62.4,14.75,58.25,5.0,13.85,24.0,jungle lane,617.0,CHALLENGER,4.149999999999999,5.783132530120484
Camille,61.28,9.69,58.25,3.41,0.98,10.0,top lane,421.0,CHALLENGER,3.030000000000001,3.300330033003299
Pyke,54.7,7.38,58.25,6.55,37.35,-37.0,support lane,808.0,CHALLENGER,-3.549999999999997,-10.422535211267615
Lulu,57.08,6.56,58.25,6.98,8.08,-9.0,support lane,862.0,CHALLENGER,-1.1700000000000017,-7.692307692307681
